Frame,Gaze_X,Gaze_Y,Fixation,Side
0,-0.0581,-0.0537,False,Center
1,-0.0642,-0.0456,False,Center
2,-0.0693,-0.0281,False,Center
3,-0.0829,-0.0607,False,Center
4,-0.104,-0.0619,False,Center
5,-0.1277,-0.0636,False,Center
6,-0.0917,-0.0513,False,Center
7,-0.0596,-0.0306,False,Center
8,-0.0563,-0.0259,False,Center
9,-0.0715,-0.0304,False,Center
10,-0.0575,0.0039,False,Center
11,-0.0453,0.0023,True,Center
12,-0.0498,-0.0018,True,Center
13,-0.0488,-0.0191,True,Center
14,-0.0596,-0.0299,False,Center
15,-0.0452,-0.0141,True,Center
16,-0.046,-0.0154,True,Center
17,-0.0667,-0.0251,False,Center
18,-0.0854,-0.0279,False,Center
19,-0.0759,-0.0144,False,Center
20,-0.0741,-0.0382,False,Center
21,-0.0558,-0.0589,False,Center
22,-0.0571,-0.0659,False,Center
23,-0.0563,-0.0661,False,Center
24,-0.0556,-0.0645,False,Center
25,-0.0469,-0.0532,True,Center
26,-0.0464,-0.0603,True,Center
27,-0.053,-0.0664,False,Center
28,-0.0533,-0.0608,False,Center
29,-0.0455,-0.0569,True,Center
30,-0.0637,-0.0596,False,Center
31,-0.0648,-0.0382,False,Center
32,-0.0454,-0.0556,True,Center
33,-0.053,-0.0576,False,Center
34,-0.0463,-0.065,True,Center
35,-0.0559,-0.0601,False,Center
36,-0.0623,-0.0521,False,Center
37,-0.076,-0.0375,False,Center
38,-0.0931,-0.0398,False,Center
39,-0.063,-0.033,False,Center
40,-0.0371,-0.0269,True,Center
41,-0.0371,-0.0284,True,Center
42,-0.0235,-0.0249,True,Center
43,-0.0464,-0.017,True,Center
44,-0.0392,-0.0014,True,Center
45,-0.035,-0.0185,True,Center
46,-0.0394,-0.0187,True,Center
47,-0.0127,-0.0154,True,Center
48,-0.0412,-0.0218,True,Center
49,-0.0651,-0.0261,False,Center
50,-0.0371,-0.0248,True,Center
51,-0.0638,-0.0099,False,Center
52,-0.0434,0.0085,True,Center
53,-0.0399,0.0203,True,Center
54,-0.0582,-0.0115,False,Center
55,-0.0087,0.0122,True,Center
56,0.0016,0.0055,True,Center
57,-0.0145,-0.004,True,Center
58,0.0199,0.0132,True,Center
59,0.0599,-0.003,False,Center
